2768180	47.51
8639233	84.1
2994461	54.88
3873120	55.49
7931237	77.07
5399626	76.56
4994212	92.62
8741240	30.53
4809554	70.25
7579688	87.83
6569345	81.84
7606639	42.03
8438311	24.82
7188345	28.19
3713920	23.21
5679950	49.29
4949582	68.71
6904513	46.16
6298016	90.07
4884819	43.08
1730740	34.15
6930554	74.45
6073421	77.06
5795568	77.08
2995778	46.58
1382462	95.67
8562672	65.83
2789595	90.32
7654928	86.08
5083251	48.2
5499526	43.29
9888033	92.86
4388427	27.45
7218829	64.5
2255920	31.26
3252257	85.87
9332121	61.42
2701667	31.94
3832794	92.94
7652437	95.58
2052061	74.05
6264597	26.41
9665063	86.46
7930826	88.0
4232165	84.26
7769360	83.11
4737510	79.62
8329745	70.54
5586144	74.52
7429169	70.04
1659875	84.6
5566558	90.52
9332441	31.91
9797393	62.56
3756912	43.61
1972470	47.55
3759330	84.2
1557644	68.9
1975836	32.2
5377765	51.98
9614243	41.8
1138909	25.39
8401087	74.76
1427809	84.52
4339618	70.83
7242973	31.88
2395769	75.52
1367440	97.43
5340748	73.88
2093925	22.14
4077910	56.99
1623425	53.45
5030172	90.77
6636212	95.85
9179312	71.46
2309711	86.17
1071020	88.84
9455143	84.1
9780879	74.29
1666543	39.61
2111022	97.53
7623259	65.81
1383524	69.75
5181246	29.2
6892080	99.91
8551916	98.89
6205860	76.77
2446428	76.86
1147604	33.2
1332662	47.63
2432835	42.65
7957703	55.64
8084868	83.35
5856594	79.46
6259505	70.54
2632278	76.42
9535893	96.48
3358687	46.64
6481781	53.44
8435643	64.66
